Business_id,Login_Date,Sales_Amount,Advanced_Amount,GST_Amount,Payment_mode
CHNA1986,17-04-2023,10000,10000,1800,Online
CLNR2023,07-03-2020,5000,5000,900,Cheque
CCNS1866,05-02-2020,11800,10000,2124,Cheque
CRNB1866,05-02-2020,11800,10000,2124,Cheque
CHAJ1949,15-02-2023,20000,20000,3600,Cash
CPAA1949,19-09-2022,14160,14160,2548.8,Cheque
CGNM1945,16-11-2019,11000,11000,1980,Cheque  
CGNM1945,16-11-2019,11000,11000,1980,Cheque
CGNM1945,16-11-2019,11000,11000,1980,Cheque
CHWA2004,27-06-2019,0,0,0,No Data
CAAP1671,16-02-2023,5000,5000,900,Cash
CWYM2176,08-08-2023,7777,7777,1399.86,Cash
CCYM1867,10-06-2023,14160,14160,2548.8,Cash
CCBD1783,28-01-2022,11800,5900,2124,Online
CCBD1783,21-04-2022,11800,5900,2124,Online
CFNG1937,27-01-2023,8260,8260,1486.8,Cash
CEBS1909,18-07-2023,5000,5000,900,Cash
CEBS1909,14-08-2019,5000,5000,900,Cash
CCAS1757,14-11-2019,5900,5000,1062,Cash
CCAS1757,14-11-2019,5900,5000,1062,Cash
CCAS1757,14-11-2019,5900,5000,1062,Cash
CBBD1704,18-11-2019,14160,12000,2548.8,Cheque 
CBBD1704,18-11-2019,14160,12000,2548.8,Cheque
CBBD1704,18-11-2019,14160,12000,2548.8,Cheque
CING2013,05-01-2022,35400,35400,6372,Cheque
CACV1692,01-08-2019,6000,2000,1080,Cash
CACV1692,27-08-2019,6000,4000,1080,Cash
CSAH2108,25-01-2023,12000,12000,2160,Cash
DSNS3714,30-11-2019,17700,17700,3186,Cheque 
DSNS3714,30-11-2019,17700,17700,3186,Cheque
DSNS3714,30-11-2019,17700,17700,3186,Cheque
DPBP3350,03-12-2019,11800,10000,2124,Cheque
DMBP3350,03-12-2019,11800,10000,2124,Cheque
DMBP3350,03-12-2019,11800,10000,2124,Cheque
DCCA2486,11-10-2019,17700,17700,3186,Cheque 
DCNM2658,18-12-2019,15000,15000,2700,Cheque
DLNR3340,18-12-2019,15000,15000,2700,Cheque
DLNR3340,18-12-2019,15000,15000,2700,Cheque
DBNM2264,29-01-2020,25000,25000,4500,Cash
DLNA2264,29-01-2020,25000,25000,4500,Cash
DFNA3000,03-12-2019,29500,25000,5310,Cheque
DFNA3000,03-12-2019,29500,29500,5310,Cheque
DFNA3000,03-12-2019,29500,29500,5310,Cheque
DNND3387,02-10-2020,7500,7500,1350,Cheque
DPBD3513,24-04-2019,6500,4000,1170,Cheque
DPBD3513,11-07-2019,6500,2500,1170,Cheque
DDBD2760,21-02-2022,7500,7500,1350,Cash
DENA2973,27-01-2023,0,0,0,No Data
DHAS2711,24-07-2023,8000,8000,1440,Cash
DCNK2655,06-02-2021,17700,17700,3186,Online 
DDNR2899,14-10-2019,8000,8000,1440,Cheque  
DHAN3097,06-11-2019,5000,5000,900,Cheque 
DHAN3097,06-11-2019,5000,5000,900,Cheque
DHAN3097,06-11-2019,5000,5000,900,Cheque
DOAA3098,09-09-2019,16000,6780,2880,Cheque 
DFAN2991,11-01-2020,10000,8475,1800,Cheque
DFAN2991,11-01-2020,10000,8475,1800,Cheque
DFAJ2990,31-08-2019,11800,10000,2124,Cheque
DEAN2922,19-11-2019,10000,10000,1800,Cheque 
DEAN2922,19-11-2019,10000,10000,1800,Cheque
DEAN2922,19-11-2019,10000,10000,1800,Cheque
DDNG2880,05-08-2019,15000,12712,2700,Online
DMNG3360,05-08-2019,0,0,0,Online
DACV2213,25-05-2019,8000,8000,1440,Cash
DANR2233,21-08-2019,7080,6000,1274.4,Cheque
DPNJ3606,13-07-2019,7080,6000,1274.4,Cheque
DHBP3186,10-06-2023,9000,9000,1620,Cheque
DMAA2179,03-10-2022,14160,14160,2548.8,cheque
DFYS3005,05-11-2019,37760,37760,6796.8,Cheque 
DFYS3005,05-11-2019,37760,37760,6796.8,Cheque
DFYS3005,05-11-2019,37760,37760,6796.8,Cheque
DPWA3618,07-08-2019,11800,10000,2124,Cheque
DWBD3773,21-02-2022,7500,7500,1350,Cash
DEAG2921,13-07-2023,9500,9500,1710,Online
DSBM3691,25-11-2019,11000,11000,1980,No Data
DSBM3691,25-11-2019,11000,11000,1980,Online
DSBM3691,25-11-2019,11000,11000,1980,Online
DTNG3744,31-05-2022,8000,8000,1440,Cash
DPBD3515,19-06-2023,10000,10000,1800,Cheque
DDBD2770,24-04-2019,6500,4000,1170,Cheque
DEAP2925,11-04-2023,15000,15000,2700,Cheque
DFCV2997,10-06-2019,8000,8000,1440,Cheque
DEBD2936,04-11-2021,11800,5000,2124,Online 
DEBD2936,21-07-2022,11800,6800,2124,Online
DPBD3516,03-11-2021,10000,5000,1800,Online 
DPBD3516,24-01-2022,10000,5000,1800,Online
DEBD2937,23-07-2019,8500,4250,1530,Cheque
DEBD2937,10-05-2019,8500,4250,1530,Cheque
DSBD3681,19-04-2019,6000,3000,1080,Cheque
DSBD3681,27-04-2019,3000,2000,540,Cheque
DCNG2626,29-09-2020,18880,18880,3398.4,Online
DHNM3272,09-03-2020,14160,14160,2548.8,Online
DHNG3265,20-09-2021,12250,7250,2205,Online 
DDNK2890,28-02-2021,10000,10000,1800,Online 
DDNK2890,28-02-2021,10000,10000,1800,Online 
DHCV3212,27-06-2023,15000,15000,2700,Cash
DDNM2891,24-01-2020,5000,900,900,Cheque
DHCG3206,11-07-2023,10000,10000,1800,Cash
DGNG3065,11-10-2019,18000,18000,3240,Cheque 
DCBD2333,30-03-2022,10000,10000,1800,Online
